node,re_z,im_z,abs_z,R_ii,R_va,R_iv_1e8,R_vb_1e8,R_iv_1e6,R_vb_1e6,R_iv_1e10,R_vb_1e10
218,5.773335,-0.917765,5.845827,0.549643,0.274739,0.100000,0.159984,0.140000,0.195449,0.060000,0.130954
219,5.721641,-0.832163,5.781840,0.559686,0.280962,0.100000,0.166633,0.140000,0.203572,0.080000,0.136397
220,5.677014,-0.742673,5.725387,0.579298,0.293027,0.100000,0.171268,0.120000,0.209234,0.080000,0.140191
221,5.640370,-0.649629,5.677658,0.160116,0.308634,0.060000,0.173042,0.060000,0.211401,0.060000,0.141643
222,5.612754,-0.553518,5.639981,0.640175,0.331041,0.100000,0.192032,0.160000,0.234601,0.080000,0.157187
223,5.595350,-0.455044,5.613822,0.436860,0.285179,0.100000,0.168461,0.140000,0.205805,0.080000,0.137893
224,5.695178,-0.449192,5.712865,0.584057,0.295460,0.100000,0.175363,0.140000,0.214237,0.080000,0.143543
225,5.751330,-0.366446,5.762992,0.566181,0.283923,0.100000,0.167526,0.140000,0.204662,0.080000,0.137128
226,5.807482,-0.283699,5.814407,0.565335,0.282353,0.100000,0.159738,0.140000,0.195148,0.060000,0.130753
227,5.863634,-0.200953,5.867076,0.581205,0.292073,0.100000,0.171560,0.120000,0.209591,0.080000,0.140430
228,5.919785,-0.118206,5.920965,0.603689,0.308027,0.100000,0.181542,0.140000,0.221786,0.080000,0.148601
229,6.003329,-0.063247,6.003662,0.624388,0.321629,0.100000,0.184477,0.140000,0.225372,0.060000,0.151003
230,6.064903,0.015548,6.064923,0.522195,0.355851,0.100000,0.197123,0.160000,0.240821,0.080000,0.161355
231,6.122670,0.097175,6.123441,0.608709,0.364702,0.120000,0.211484,0.160000,0.258366,0.080000,0.173110
232,6.038270,0.150809,6.040153,0.606846,0.311531,0.100000,0.182248,0.140000,0.222649,0.080000,0.149179
233,6.096244,0.232289,6.100668,0.562490,0.283005,0.100000,0.168091,0.140000,0.205352,0.080000,0.137590
